Country,Date,Number of confirmed cases
France,4/1/2020,57125
France,4/2/2020,59227
France,4/3/2020,64452
France,4/4/2020,47376
France,4/5/2020,48225
France,4/6/2020,50884
France,4/7/2020,47395
France,4/8/2020,51250
France,4/9/2020,55034
France,4/10/2020,56600
France,4/11/2020,58045
France,4/12/2020,108792
France,4/13/2020,111933
France,4/14/2020,129381
France,4/15/2020,132588
France,4/16/2020,145166
France,4/17/2020,147057
France,4/18/2020,150861
France,4/19/2020,151955
France,4/20/2020,154402
France,4/21/2020,157068
France,4/22/2020,158867
France,4/23/2020,157158
France,4/24/2020,159969
France,4/25/2020,161647
France,4/26/2020,162280
France,4/27/2020,165966
France,4/28/2020,169098
France,4/29/2020,167643
France,4/30/2020,168861
France,5/1/2020,169387
Italy,4/1/2020,110574
Italy,4/2/2020,115242
Italy,4/3/2020,119827
Italy,4/4/2020,124632
Italy,4/5/2020,128948
Italy,4/6/2020,132547
Italy,4/7/2020,135586
Italy,4/8/2020,139422
Italy,4/9/2020,143626
Italy,4/10/2020,147577
Italy,4/11/2020,152271
Italy,4/12/2020,156363
Italy,4/13/2020,159516
Italy,4/14/2020,162488
Italy,4/15/2020,165155
Italy,4/16/2020,168941
Italy,4/17/2020,172434
Italy,4/18/2020,175925
Italy,4/19/2020,178972
Italy,4/20/2020,181228
Italy,4/21/2020,183957
Italy,4/22/2020,187327
Italy,4/23/2020,189973
Italy,4/24/2020,192994
Italy,4/25/2020,195351
Italy,4/26/2020,197675
Italy,4/27/2020,199414
Italy,4/28/2020,201505
Italy,4/29/2020,203591
Italy,4/30/2020,205463
Italy,5/1/2020,207428
US,4/1/2020,223255
US,4/2/2020,255531
US,4/3/2020,287932
US,4/4/2020,319777
US,4/5/2020,349017
US,4/6/2020,380799
US,4/7/2020,410835
US,4/8/2020,441898
US,4/9/2020,477508
US,4/10/2020,511791
US,4/11/2020,540715
US,4/12/2020,567023
US,4/13/2020,594166
US,4/14/2020,622494
US,4/15/2020,648391
US,4/16/2020,678029
US,4/17/2020,711136
US,4/18/2020,738465
US,4/19/2020,763887
US,4/20/2020,793971
US,4/21/2020,820046
US,4/22/2020,849927
US,4/23/2020,881892
US,4/24/2020,913857
US,4/25/2020,944771
US,4/26/2020,970742
US,4/27/2020,995392
US,4/28/2020,1019965
US,4/29/2020,1046817
US,4/30/2020,1076519
US,5/1/2020,1111411
Vietnam,4/1/2020,218
Vietnam,4/2/2020,233
Vietnam,4/3/2020,237
Vietnam,4/4/2020,240
Vietnam,4/5/2020,241
Vietnam,4/6/2020,245
Vietnam,4/7/2020,249
Vietnam,4/8/2020,251
Vietnam,4/9/2020,255
Vietnam,4/10/2020,257
Vietnam,4/11/2020,258
Vietnam,4/12/2020,262
Vietnam,4/13/2020,265
Vietnam,4/14/2020,266
Vietnam,4/15/2020,267
Vietnam,4/16/2020,268
Vietnam,4/17/2020,268
Vietnam,4/18/2020,268
Vietnam,4/19/2020,268
Vietnam,4/20/2020,268
Vietnam,4/21/2020,268
Vietnam,4/22/2020,268
Vietnam,4/23/2020,268
Vietnam,4/24/2020,270
Vietnam,4/25/2020,270
Vietnam,4/26/2020,270
Vietnam,4/27/2020,270
Vietnam,4/28/2020,270
Vietnam,4/29/2020,270
Vietnam,4/30/2020,270
Vietnam,5/1/2020,270
